order_id,Product,Category,Quantity,Price,Total_Amount,Date
"Syntax error in formula 'this.1000
'",Amoi A865,QMobile Linq X100,3,5016,97,1/18/2025
"Syntax error in formula 'this.1000
'",Sharp 923SH,Samsung S3030 Tobi,5,6599,55,2/18/2024
"Syntax error in formula 'this.1000
'",BlackBerry DTEK50,LG L65 D280,2,3178,42,10/11/2024
"Syntax error in formula 'this.1000
'",Samsung Gear S3 frontier LTE,Nokia 6301,4,11503,70,11/27/2024
"Syntax error in formula 'this.1000
'",HTC Desire 616 dual sim,Karbonn Titanium Octane Plus,1,4724,39,6/20/2024
"Syntax error in formula 'this.1000
'",Huawei U8300,Philips 636,1,3804,88,7/21/2024
"Syntax error in formula 'this.1000
'",Samsung Galaxy M21s,Nokia 207,4,3426,30,12/10/2024
"Syntax error in formula 'this.1000
'",LG Volt,LG U830,3,4788,88,3/17/2024
"Syntax error in formula 'this.1000
'",Gionee Elife E3,ZTE Skate,4,3531,72,5/6/2024
"Syntax error in formula 'this.1000
'",NEC e353,Samsung Z100,3,10966,59,3/29/2024
"Syntax error in formula 'this.1000
'",Huawei P8lite ALE-L04,T-Mobile Sidekick Slide,1,10858,22,6/4/2024
"Syntax error in formula 'this.1000
'",Lenovo A800,Samsung F400,2,2703,97,12/19/2024
"Syntax error in formula 'this.1000
'",Samsung I9070 Galaxy S Advance,Philips W632,5,6474,57,8/4/2024
"Syntax error in formula 'this.1000
'",Acer Liquid Z630,Samsung I9001 Galaxy S Plus,5,6183,93,6/22/2024
"Syntax error in formula 'this.1000
'",Archos 40 Titanium,Nokia T7,2,8288,16,1/18/2025
"Syntax error in formula 'this.1000
'",alcatel OT Easy db,Samsung T339,2,10162,0,8/6/2024
"Syntax error in formula 'this.1000
'",Ericsson R380,Bird A120,2,2251,85,5/19/2024
"Syntax error in formula 'this.1000
'",Samsung Exhilarate i577,Micromax Funbook 3G P560,3,10468,99,1/8/2025
"Syntax error in formula 'this.1000
'",Nokia 6131 NFC,LG Optimus Vu F100S,2,10083,73,9/2/2024
"Syntax error in formula 'this.1000
'",Nokia 2610,alcatel One Touch Idol Ultra,3,9110,1,11/9/2024
"Syntax error in formula 'this.1000
'",Samsung i927 Captivate Glide,Apple iPhone 6,2,3495,39,2/18/2024
